run,event_number,shower_start_sf,sum_hit_density_w_sf,sum_qdc_sf,max_qdc_per_sf_plane,n_hits_sf,max_n_hits_per_sf_plane
6226,23140256,-1,154,55.07000043615699,19.419999983161688,32,10
6226,26664127,-1,363,58.099999859929085,26.809999987483025,35,15
6226,27943903,4,431,39.29999995045364,17.440000019967556,42,17
6226,38655185,-1,308,30.790000282227993,14.740000247955322,45,13
6226,39205143,-1,173,37.05999938957393,16.43999981880188,30,8
6226,39254453,-1,297,26.149999288842082,20.849999606609344,41,15
6226,41502008,-1,268,40.59000001847744,17.619999945163727,34,11
6226,53248917,-1,246,-2.95000022649765,4.279999986290932,42,13
6226,54879643,-1,186,41.619999224320054,14.539999604225159,36,11
6226,56090238,1,1250,25.52999983727932,11.560000389814377,73,35
6226,56171814,2,790,43.57000048086047,15.069999918341637,55,22
6226,60714764,-1,280,35.12999998964369,18.540000319480896,38,13
6226,64366794,-1,315,62.02000039443374,24.75999939441681,40,12
6226,64842643,-1,401,26.219999155029655,12.520000115036964,47,18
6226,66242065,2,798,45.71000003814697,21.250000029802322,60,24
6226,68410917,1,390,3.519999846816063,16.640000104904175,41,13
6226,69822207,2,523,17.780000146478415,12.980000281706452,48,21
6226,74327873,-1,287,26.92999892309308,15.22000002861023,42,14
6226,78285854,4,1423,84.67000091075897,22.61000058799982,74,42
6226,81934210,-1,285,58.49999959394336,32.310000002384186,43,17
6226,83512319,3,593,7.960000293329358,13.949999684467912,52,14
6226,89363882,-1,249,38.55000043287873,12.840000461786985,36,10
6226,91393831,4,640,20.95999975502491,21.060000151395798,59,19
6226,92831727,-1,165,56.89000083133578,16.48000033199787,33,10
6226,95628057,1,688,122.46999977901578,31.980000019073486,67,20
6226,95819455,2,1472,85.8099998254329,53.46000022627413,75,38
6226,97812188,-1,205,7.800000600516796,4.860000059008598,30,10
6226,101285257,-1,309,36.88000025600195,27.79999977350235,46,13
6233,14928330,2,809,108.28999982215464,68.75999969802797,53,25
6233,16204416,-1,445,42.82999965921044,23.220000088214874,44,17
6233,19737160,-1,380,53.67999883554876,36.179999651387334,44,14
6233,21515662,3,1381,54.989999728277326,22.059999868273735,73,35
6233,26093079,-1,248,1.9300006236881018,15.950000360608101,44,10
6233,30739475,-1,246,66.06000093184412,20.630000308156013,43,12
6233,32872320,-1,218,52.78999905847013,18.259999930858612,33,12
6233,34834509,-1,246,40.40999988093972,21.789999663829803,39,11
6233,41180716,5,416,72.32999913394451,26.799999561160803,44,20
6233,41773545,1,460,-4.8099987879395485,3.2100005876272917,51,18
6233,47449576,1,582,60.97000063024461,26.009999841451645,56,20
6233,52816444,-1,228,45.99000091664493,15.57000040076673,40,11
6233,57743387,2,426,27.61000003479421,8.070000259205699,41,17
6237,9039683,-1,330,35.3499999307096,16.709999982267618,38,10
6237,10168287,3,827,34.18999993056059,18.12999975681305,51,25
6237,10699738,4,654,6.230000330135226,17.670000463724136,48,22
6237,11705963,-1,201,25.979999881237745,13.84000015258789,37,11
6237,12339935,-1,235,19.449999541044235,12.069999650120735,36,11
6237,12964037,-1,207,13.780000038444996,14.980000227689743,36,11
6237,13914925,-1,120,35.92999938316643,16.270000264048576,29,9
6237,20189371,-1,258,54.859999714419246,24.24999988079071,38,10
6237,21284004,4,701,44.5899998024106,14.450000423938036,62,25
6237,28288304,-1,217,46.180000349879265,14.680000007152557,29,10
6237,33330468,3,308,21.609999230131507,16.699999755248427,47,20
6237,43212544,-1,314,61.47999993339181,19.470000326633453,38,17
6237,47534294,-1,193,68.80000026151538,19.43000040948391,36,9
6237,55932562,-1,177,56.15999932587147,18.56000018119812,30,9
6237,64134988,1,317,47.22000028192997,14.560000091791153,46,13
6237,67272893,-1,259,28.920000471174717,14.870000138878822,39,16
6237,67612451,-1,495,52.71000178344548,32.02000114321709,54,15
6237,72868071,-1,195,38.00999985821545,12.25999972037971,33,9
6237,85921427,-1,201,54.280000323429704,20.019999595358968,36,13
6237,86749483,2,1822,34.13999951258302,18.129999816417694,89,38
6237,88987234,3,394,31.3099996894598,37.00000036507845,50,17
6237,89675368,-1,268,25.9200005736202,14.610000401735306,36,12
